City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Rank,Crime Index,Safety Index,Number of Hotels,Number of Resturants,Bodies of Water,Tourist Attractions,Natural Places,Hospital,Entertainment,Rental Car,Airport
4053,khark,29.2614,50.3306,26.32,54,0,2.94,IR,2023-04-28 11:03:50,,,,0,0,5,3,7,1,0,0,1
41,newman,37.3138,-121.0208,27.81,45,0,0.89,US,2023-04-28 10:40:44,,,,1,14,200,3,200,0,3,0,1
251,dogonbadan,30.3586,50.7981,24.05,29,0,2.06,IR,2023-04-28 10:41:52,,,,1,3,2,0,13,4,1,0,1
429,al wajh,26.2455,36.4525,25.97,65,0,4.63,SA,2023-04-28 10:42:53,,,,1,0,2,3,1,1,0,0,1
733,al awjam,26.5632,49.9433,28.06,34,0,3.6,SA,2023-04-28 10:44:40,,,,2,45,28,9,36,10,0,0,1
2604,santana do paraiso,-19.3636,-42.5686,28.18,51,0,2.57,BR,2023-04-28 10:55:45,,,,3,17,48,5,106,10,1,0,1
2329,brownwood,31.7093,-98.9912,25.0,57,0,7.2,US,2023-04-28 10:54:21,,,,3,6,21,0,22,1,1,0,1
608,al kharijah,25.4514,30.5464,25.47,23,0,5.55,EG,2023-04-28 10:43:53,,,,3,2,24,8,26,1,0,0,1
3633,goya,-29.14,-59.2626,28.96,31,0,4.87,AR,2023-04-28 11:01:27,,,,4,0,200,3,200,4,2,0,3
465,alegrete,-29.7831,-55.7919,27.34,30,0,4.0,BR,2023-04-28 10:43:02,,,,5,5,41,3,47,2,1,0,1
1720,treinta y tres,-33.2333,-54.3833,27.4,35,0,2.24,UY,2023-04-28 10:51:19,,,,5,3,21,3,53,4,4,0,1
947,francisco beltrao,-26.0811,-53.055,24.12,52,0,1.1,BR,2023-04-28 10:47:38,,,,5,8,200,8,200,7,2,0,1
1168,zachary,30.6485,-91.1565,26.52,51,0,2.41,US,2023-04-28 10:45:15,,,,6,1,69,14,95,1,10,0,1
4230,general pinedo,-27.3167,-61.2833,28.23,50,0,1.79,AR,2023-04-28 11:04:52,,,,6,1,10,0,10,4,2,0,1
3779,artigas,-30.4,-56.4667,27.63,30,0,4.76,UY,2023-04-28 11:01:26,,,,7,9,42,6,52,5,2,0,1
3644,miandrivazo,-19.5167,45.4667,25.74,59,0,0.64,MG,2023-04-28 11:01:31,,,,7,1,22,1,28,0,0,0,1
2112,quarai,-30.3875,-56.4514,27.69,30,0,4.75,BR,2023-04-28 10:53:13,,,,7,9,40,6,50,5,2,0,1
2293,tacuarembo,-31.7333,-55.9833,28.39,28,0,3.59,UY,2023-04-28 10:54:08,,,,8,4,15,9,55,1,2,1,1
2594,hun,29.1268,15.9477,25.69,23,0,4.27,LY,2023-04-28 10:55:42,,,,8,4,3,6,8,2,0,0,1
2403,santo angelo,-28.2992,-54.2631,26.18,57,0,2.06,BR,2023-04-28 10:54:44,,,,9,16,45,25,107,5,13,0,1
3010,patterson,37.4716,-121.1297,28.34,41,0,1.46,US,2023-04-28 10:57:41,,,,10,5,200,5,200,0,3,0,1
1417,nacogdoches,31.6002,-94.6335,24.76,64,0,1.89,US,2023-04-28 10:48:59,,,,10,9,71,4,98,2,6,1,1
3357,diboll,31.1871,-94.781,25.68,59,0,2.57,US,2023-04-28 10:59:24,,,,11,25,76,6,87,1,4,0,1
2565,omidiyeh,30.7597,49.705,29.93,28,0,3.09,IR,2023-04-28 10:55:35,,,,11,6,8,2,27,3,8,0,2
766,aghajari,30.7006,49.8315,29.12,28,0,3.09,IR,2023-04-28 10:46:38,,,,11,6,17,2,64,3,8,0,1
4010,carmelo,-33.9892,-58.2856,27.58,34,0,6.46,UY,2023-04-28 11:03:39,,,,12,8,36,16,133,1,5,0,1
2886,itaqui,-29.1253,-56.5531,28.29,27,0,4.83,BR,2023-04-28 10:57:09,,,,13,8,35,5,107,6,1,0,1
2579,rivera,-30.9053,-55.5508,26.77,31,0,4.54,UY,2023-04-28 10:54:42,,,,16,4,15,157,24,5,1,0,1
2832,haines city,28.1142,-81.6179,29.34,69,0,3.6,US,2023-04-28 10:53:31,,,,18,50,200,27,200,3,9,4,1
3510,dar kulayb,26.0686,50.5039,28.09,52,0,4.2,BH,2023-04-28 11:00:32,,,,20,200,47,60,200,11,9,8,1
4129,paso de los libres,-29.7131,-57.0899,28.02,44,0,3.6,AR,2023-04-28 11:04:18,,,,21,11,74,9,110,6,5,0,3
776,vallenar,-28.5708,-70.7581,25.15,36,0,3.73,CL,2023-04-28 10:46:40,,,,22,8,17,4,29,2,3,0,1
3604,la marque,29.3686,-94.9713,29.49,61,0,3.6,US,2023-04-28 11:01:13,,,,24,30,200,6,200,1,6,0,1
