City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Rank,Crime Index,Safety Index,Number of Hotels,Number of Resturants,Bodies of Water,Tourist Attractions,Natural Places,Hospital,Entertainment,Rental Car,Airport
3633,goya,-29.14,-59.2626,28.96,31,0,4.87,AR,2023-04-28 11:01:27,,,,2,0,5,3,8,4,2,0,3
3010,patterson,37.4716,-121.1297,28.34,41,0,1.46,US,2023-04-28 10:57:41,,,,3,2,61,5,61,0,3,0,1
3510,dar kulayb,26.0686,50.5039,28.09,52,0,4.2,BH,2023-04-28 11:00:32,,,,4,40,17,19,160,4,3,0,1
2886,itaqui,-29.1253,-56.5531,28.29,27,0,4.83,BR,2023-04-28 10:57:09,,,,7,6,13,4,32,5,1,0,1
2293,tacuarembo,-31.7333,-55.9833,28.39,28,0,3.59,UY,2023-04-28 10:54:08,,,,8,4,12,9,41,1,2,1,1
2730,indian harbour beach,28.1489,-80.5884,28.03,63,0,7.2,US,2023-04-28 10:56:27,,,,8,48,200,9,200,4,9,4,1
1163,ceres,37.5949,-120.9577,28.91,38,0,1.54,US,2023-04-28 10:48:46,,,,16,12,61,1,101,4,5,0,1
4129,paso de los libres,-29.7131,-57.0899,28.02,44,0,3.6,AR,2023-04-28 11:04:18,,,,21,9,13,9,22,6,5,0,2
660,ngaoundere,7.3167,13.5833,28.94,51,0,1.54,CM,2023-04-28 10:44:10,,,,45,149,6,4,46,4,1,1,1
4181,zayed city,24.3768,54.589,28.89,57,0,1.03,AE,2023-04-28 11:04:38,,,,68,200,20,31,104,22,4,35,1
60,los altos,37.3852,-122.1141,28.1,64,0,3.6,US,2023-04-28 10:38:03,,,,79,200,107,172,200,5,47,6,2
3119,san gabriel,34.0961,-118.1058,28.53,63,0,2.06,US,2023-04-28 10:53:45,,,,177,200,55,60,200,10,67,8,1
