,Country,Category,Year,Unit of measurement,VALUE,Source,Crime Type,ISO3_code,ISO2_code,PopTotal
0,Albania,Smuggling of migrants,2016,Counts,63.0,CTS,Economic,ALB,AL,2881.063
1,Albania,Theft: of a motorized vehicle,2016,Counts,298.0,CTS,Economic,ALB,AL,2881.063
2,Albania,Fraud: Cyber-related (Cy),2016,Counts,51.0,CTS,Economic,ALB,AL,2881.063
3,Albania,Corruption,2016,Counts,1032.0,CTS,Economic,ALB,AL,2881.063
4,Albania,Corruption: Bribery,2016,Counts,256.0,CTS,Economic,ALB,AL,2881.063
5,Albania,Corruption: Other acts of corruption,2016,Counts,776.0,CTS,Economic,ALB,AL,2881.063
6,Albania,Unlawful access to a computer system,2016,Counts,12.0,CTS,Economic,ALB,AL,2881.063
7,Albania,Unlawful interference with a computer system or computer data,2016,Counts,72.0,CTS,Economic,ALB,AL,2881.063
8,Albania,Unlawful interception or access of computer data,2016,Counts,0.0,CTS,Economic,ALB,AL,2881.063
9,Albania,Acts that cause environmental pollution or degradation,2016,Counts,27.0,CTS,Economic,ALB,AL,2881.063
10,Albania,Acts involving the movement of dumping of waste,2016,Counts,0.0,CTS,Economic,ALB,AL,2881.063
11,Albania,Acts that result in the depletion of degradation of natural resources,2016,Counts,224.0,CTS,Economic,ALB,AL,2881.063
12,Albania,Theft,2016,Counts,5641.0,CTS,Economic,ALB,AL,2881.063
13,Albania,Fraud,2016,Counts,913.0,CTS,Economic,ALB,AL,2881.063
14,Albania,Money laundering,2016,Counts,365.0,CTS,Economic,ALB,AL,2881.063
15,Albania,Corruption,2017,Counts,1154.0,CTS,Economic,ALB,AL,2879.355
16,Albania,Corruption: Bribery,2017,Counts,297.0,CTS,Economic,ALB,AL,2879.355
17,Albania,Corruption: Other acts of corruption,2017,Counts,857.0,CTS,Economic,ALB,AL,2879.355
18,Albania,Smuggling of migrants,2017,Counts,61.0,CTS,Economic,ALB,AL,2879.355
19,Albania,Unlawful access to a computer system,2017,Counts,9.0,CTS,Economic,ALB,AL,2879.355
20,Albania,Unlawful interference with a computer system or computer data,2017,Counts,68.0,CTS,Economic,ALB,AL,2879.355
21,Albania,Unlawful interception or access of computer data,2017,Counts,0.0,CTS,Economic,ALB,AL,2879.355
22,Albania,Acts that cause environmental pollution or degradation,2017,Counts,46.0,CTS,Economic,ALB,AL,2879.355
23,Albania,Acts involving the movement of dumping of waste,2017,Counts,0.0,CTS,Economic,ALB,AL,2879.355
24,Albania,Acts that result in the depletion of degradation of natural resources,2017,Counts,289.0,CTS,Economic,ALB,AL,2879.355
25,Albania,Theft,2017,Counts,5096.0,CTS,Economic,ALB,AL,2879.355
26,Albania,Theft: of a motorized vehicle,2017,Counts,329.0,CTS,Economic,ALB,AL,2879.355
27,Albania,Fraud,2017,Counts,1018.0,CTS,Economic,ALB,AL,2879.355
28,Albania,Fraud: Cyber-related (Cy),2017,Counts,77.0,CTS,Economic,ALB,AL,2879.355
29,Albania,Money laundering,2017,Counts,379.0,CTS,Economic,ALB,AL,2879.355
30,Albania,Unlawful access to a computer system,2018,Counts,12.0,CTS,Economic,ALB,AL,2877.013
31,Albania,Unlawful interference with a computer system or computer data,2018,Counts,55.0,CTS,Economic,ALB,AL,2877.013
32,Albania,Unlawful interception or access of computer data,2018,Counts,0.0,CTS,Economic,ALB,AL,2877.013
33,Albania,Acts that cause environmental pollution or degradation,2018,Counts,112.0,CTS,Economic,ALB,AL,2877.013
34,Albania,Acts involving the movement of dumping of waste,2018,Counts,0.0,CTS,Economic,ALB,AL,2877.013
35,Albania,Acts that result in the depletion of degradation of natural resources,2018,Counts,265.0,CTS,Economic,ALB,AL,2877.013
36,Albania,Corruption,2018,Counts,1033.0,CTS,Economic,ALB,AL,2877.013
37,Albania,Corruption: Bribery,2018,Counts,274.0,CTS,Economic,ALB,AL,2877.013
38,Albania,Corruption: Other acts of corruption,2018,Counts,759.0,CTS,Economic,ALB,AL,2877.013
39,Albania,Smuggling of migrants,2018,Counts,127.0,CTS,Economic,ALB,AL,2877.013
40,Albania,Theft,2018,Counts,5414.0,CTS,Economic,ALB,AL,2877.013
41,Albania,Theft: of a motorized vehicle,2018,Counts,252.0,CTS,Economic,ALB,AL,2877.013
42,Albania,Fraud,2018,Counts,941.0,CTS,Economic,ALB,AL,2877.013
43,Albania,Fraud: Cyber-related (Cy),2018,Counts,60.0,CTS,Economic,ALB,AL,2877.013
44,Albania,Money laundering,2018,Counts,351.0,CTS,Economic,ALB,AL,2877.013
45,Albania,Corruption,2019,Counts,1330.0,CTS,Economic,ALB,AL,2873.883
46,Albania,Corruption: Bribery,2019,Counts,305.0,CTS,Economic,ALB,AL,2873.883
