Country,Crime Type,Category,Year,Unit of measurement,VALUE,Source,0
Albania,Economic,Acts involving the movement of dumping of waste,2016,Counts,0.0,CTS,1
Albania,Economic,Unlawful interference with a computer system or computer data,2019,Counts,70.0,CTS,1
Albania,Economic,Unlawful interference with a computer system or computer data,2018,Counts,55.0,CTS,1
Albania,Economic,Unlawful interference with a computer system or computer data,2017,Counts,68.0,CTS,1
Albania,Economic,Unlawful interference with a computer system or computer data,2016,Counts,72.0,CTS,1
Albania,Economic,Unlawful interception or access of computer data,2019,Counts,0.0,CTS,1
Albania,Economic,Unlawful interception or access of computer data,2018,Counts,0.0,CTS,1
Albania,Economic,Unlawful interception or access of computer data,2017,Counts,0.0,CTS,1
Albania,Economic,Unlawful interception or access of computer data,2016,Counts,0.0,CTS,1
Albania,Economic,Unlawful access to a computer system,2019,Counts,14.0,CTS,1
Albania,Economic,Unlawful access to a computer system,2018,Counts,12.0,CTS,1
Albania,Economic,Unlawful access to a computer system,2017,Counts,9.0,CTS,1
Albania,Economic,Unlawful access to a computer system,2016,Counts,12.0,CTS,1
Albania,Economic,Theft: of a motorized vehicle,2020,Counts,199.0,CTS,1
Albania,Economic,Theft: of a motorized vehicle,2019,Counts,318.0,CTS,1
Albania,Economic,Corruption: Other acts of corruption,2020,Counts,686.0,CTS,1
Albania,Economic,Corruption: Other acts of corruption,2019,Counts,1025.0,CTS,1
Albania,Economic,Corruption: Other acts of corruption,2018,Counts,759.0,CTS,1
Albania,Economic,Corruption: Other acts of corruption,2017,Counts,857.0,CTS,1
Albania,Economic,Corruption: Other acts of corruption,2016,Counts,776.0,CTS,1
Albania,Economic,Corruption: Bribery,2020,Counts,161.0,CTS,1
Albania,Economic,Corruption: Bribery,2019,Counts,305.0,CTS,1
Albania,Economic,Corruption: Bribery,2018,Counts,274.0,CTS,1
Albania,Economic,Corruption: Bribery,2017,Counts,297.0,CTS,1
Albania,Economic,Corruption: Bribery,2016,Counts,256.0,CTS,1
Albania,Economic,Corruption,2020,Counts,847.0,CTS,1
Albania,Economic,Corruption,2019,Counts,1330.0,CTS,1
Albania,Economic,Corruption,2018,Counts,1033.0,CTS,1
Albania,Economic,Corruption,2017,Counts,1154.0,CTS,1
Albania,Economic,Corruption,2016,Counts,1032.0,CTS,1
Albania,Economic,Acts that result in the depletion of degradation of natural resources,2019,Counts,293.0,CTS,1
Albania,Economic,Acts that result in the depletion of degradation of natural resources,2018,Counts,265.0,CTS,1
Albania,Economic,Acts that result in the depletion of degradation of natural resources,2017,Counts,289.0,CTS,1
Albania,Economic,Acts that result in the depletion of degradation of natural resources,2016,Counts,224.0,CTS,1
Albania,Economic,Acts that cause environmental pollution or degradation,2019,Counts,114.0,CTS,1
Albania,Economic,Acts that cause environmental pollution or degradation,2018,Counts,112.0,CTS,1
Albania,Economic,Acts that cause environmental pollution or degradation,2017,Counts,46.0,CTS,1
Albania,Economic,Acts that cause environmental pollution or degradation,2016,Counts,27.0,CTS,1
Albania,Economic,Acts involving the movement of dumping of waste,2019,Counts,0.0,CTS,1
Albania,Economic,Acts involving the movement of dumping of waste,2018,Counts,0.0,CTS,1
Albania,Economic,Fraud,2016,Counts,913.0,CTS,1
Albania,Economic,Fraud,2017,Counts,1018.0,CTS,1
Albania,Economic,Fraud,2018,Counts,941.0,CTS,1
Albania,Economic,Smuggling of migrants,2017,Counts,61.0,CTS,1
Albania,Economic,Theft: of a motorized vehicle,2018,Counts,252.0,CTS,1
Albania,Economic,Theft: of a motorized vehicle,2017,Counts,329.0,CTS,1
