Region,SubRegion,msName,Year,Offences related to drug use and/or drug possession,Offences related to drug trafficking,Other drug-related offences,Calculated total,Specify year
Oceania,Australia and New Zealand,Australia,2020,128621,24632,15053,168306,
Europe,Western and Central Europe,Andorra,2020,108,22,86,216,
Europe,Western and Central Europe,Austria,2020,36505,3788,,40293,
Africa,North Africa,Algeria,2020,38148,13577,28,51753,
Asia,Central Asia and Transcaucasia,Armenia,2020,341,872,354,1567,
Europe,Western and Central Europe,Czechia,2020,5696,2493,4,8193,
Europe,Eastern Europe,Belarus,2020,397,3541,519,4457,
Americas,South America,Bolivia (Plurinational State of),2020,1,1,26,28,
Europe,Western and Central Europe,Belgium,2020,41194,12665,2473,56332,
Europe,South-Eastern Europe,Bulgaria,2020,,,4915,4915,
Asia,East and South-East Asia,Brunei Darussalam,2020,407,49,,456,
Americas,Central America,Costa Rica,2020,,713,,713,
Americas,South America,Brazil,2020,,1645,,1645,
Europe,Western and Central Europe,Cyprus,2020,754,99,,853,
Asia,South Asia,Bhutan,2020,2,106,360,468,
Africa,North Africa,Egypt,2020,55072,,,55072,
Americas,South America,Chile,2020,12.033,24.062,4.773,40.868,
Europe,Western and Central Europe,Estonia,2020,2371,1311,19,3701,
Asia,East and South-East Asia,China,2020,,92124,,92124,
Americas,South America,Colombia,2020,,38876,403,39279,
Europe,South-Eastern Europe,Croatia,2020,6563,2636,,9199,
Americas,South America,Ecuador,2020,11426,487,,11913,
Asia,East and South-East Asia,"China, Hong Kong SAR",2020,1621,1149,2770,5540,
Asia,East and South-East Asia,"China, Macao SAR",2020,33,119,2,154,
Americas,Central America,El Salvador,2020,1,1,4,6,
Europe,Western and Central Europe,Finland,2020,23785,13028,47,36860,
Europe,Western and Central Europe,France,2020,,,291,291,
Europe,Western and Central Europe,Germany,2020,311405,54348,1856,367609,
Africa,West and Central Africa,Ghana,2020,0,23,0,23,
Europe,Western and Central Europe,Gibraltar,2020,594,38,0,632,
Europe,Western and Central Europe,Greece,2020,9809,3014,,12823,
Americas,Central America,Guatemala,2020,1873,767,,2640,
Americas,Caribbean,Haiti,2020,,146,,146,
Europe,Western and Central Europe,Hungary,2020,5519,1575,16,7110,
Asia,East and South-East Asia,Indonesia,2020,17836,40928,,58764,
Asia,Near and Middle East/ South-West Asia,Iraq,2020,4069,2978,507,7554,
Europe,Western and Central Europe,Ireland,2020,17302,6698,1262,25262,
Asia,Near and Middle East/ South-West Asia,Israel,2020,22940,7168,1315,31423,
Europe,Western and Central Europe,Italy,2020,32879,31330,5,64214,
Asia,Central Asia and Transcaucasia,Kazakhstan,2020,5655,1547,627,7829,
Africa,East Africa,Kenya,2020,4220,6,124,4350,
Asia,Central Asia and Transcaucasia,Kyrgyzstan,2020,413,329,53,795,
Europe,Western and Central Europe,Latvia,2020,1461,1266,77,2804,
