Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Smuggling of migrants,Total,Total,2016,Counts,63,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2016,Counts,298,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud: Cyber-related (Cy),Total,Total,2016,Counts,51,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption,Total,Total,2016,Counts,1032,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Bribery,Total,Total,2016,Counts,256,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Other acts of corruption,Total,Total,2016,Counts,776,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful access to a computer system,Total,Total,2016,Counts,12,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful interference with a computer system or computer data,Total,Total,2016,Counts,72,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful interception or access of computer data,Total,Total,2016,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that cause environmental pollution or degradation,Total,Total,2016,Counts,27,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts involving the movement of dumping of waste,Total,Total,2016,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that result in the depletion of degradation of natural resources,Total,Total,2016,Counts,224,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2016,Counts,5641,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud,Total,Total,2016,Counts,913,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Money laundering,Total,Total,2016,Counts,365,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption,Total,Total,2017,Counts,1154,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Bribery,Total,Total,2017,Counts,297,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Other acts of corruption,Total,Total,2017,Counts,857,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Smuggling of migrants,Total,Total,2017,Counts,61,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful access to a computer system,Total,Total,2017,Counts,9,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful interference with a computer system or computer data,Total,Total,2017,Counts,68,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful interception or access of computer data,Total,Total,2017,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that cause environmental pollution or degradation,Total,Total,2017,Counts,46,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts involving the movement of dumping of waste,Total,Total,2017,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that result in the depletion of degradation of natural resources,Total,Total,2017,Counts,289,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2017,Counts,5096,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2017,Counts,329,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud,Total,Total,2017,Counts,1018,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud: Cyber-related (Cy),Total,Total,2017,Counts,77,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Money laundering,Total,Total,2017,Counts,379,CTS
