Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
AGO,Angola,Africa,Sub-Saharan Africa,Arms seized,by legal justification of seizure,other,na,na,2018,Counts,0,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms seized,by legal justification of seizure,unknown,na,na,2018,Counts,0,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms seized,by legal justification of seizure,Altered markings,na,na,2018,Counts,0,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms seized,by legal justification of seizure,illicit manufacture,na,na,2018,Counts,0,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms seized,by legal justification of seizure,illicit trafficking,na,na,2018,Counts,0,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms seized,by legal justification of seizure,illicit use,na,na,2017,Counts,5230,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms seized,by legal justification of seizure,illicit posession,na,na,2016,Counts,6056,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms seized,by marking,unknown Status On Marking,na,na,2017,Counts,10195,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms seized,by condition,otherwise illicitly manufactured,na,na,2017,Counts,10195,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms seized,by legal justification of seizure,illicit posession,na,na,2018,Counts,325,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms surrendered,by type,machine gun,na,na,2017,Counts,332,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms surrendered,by type,machine gun,na,na,2016,Counts,637,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms found,by type,machine gun,na,na,2017,Counts,2353,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms found,by type,machine gun,na,na,2016,Counts,2542,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms seized,by legal justification of seizure,illicit use,na,na,2018,Counts,3499,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms seized,by location,national territory,na,na,2017,Counts,4633,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms seized,by legal justification of seizure,illicit posession,na,na,2017,Counts,4965,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms seized,by legal justification of seizure,illicit use,na,na,2016,Counts,5419,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms seized,by location,national territory,na,na,2016,Counts,5419,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms seized,by condition,otherwise illicitly manufactured,na,na,2016,Counts,11475,IAFQ
AGO,Angola,Africa,Sub-Saharan Africa,Arms seized,by marking,unknown Status On Marking,na,na,2016,Counts,11475,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by location,Unknown status regarding marking,na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by location,Not uniquely identifiable - No further information available,na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by location,Not uniquely identifiable - Erased or altered marking,na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by location,Not uniquely identifiable - Illicitly manufactured,na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by location,Uniquely identifiable - no tracing procedure initiated,na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by location,"Uniquely identifiable - tracing attempted, no point of diversion identified",na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by location,Uniquely identifiable - point of diversion otherwise identified,na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by location,Uniquely identifiable - from illegitimate owner in national registry,na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by location,unknown,na,na,2018,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by location,unknown,na,na,2019,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by location,unknown,na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by location,other,na,na,2019,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by location,other,na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by location,other,na,na,2018,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by location,vessels and harbours,na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by location,vessels and harbours,na,na,2019,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by location,vessels and harbours,na,na,2018,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by location,planes and airports,na,na,2019,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by location,planes and airports,na,na,2018,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by legal justification of seizure,other,na,na,2019,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by legal justification of seizure,other,na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by legal justification of seizure,other,na,na,2018,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by legal justification of seizure,unknown,na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by legal justification of seizure,unknown,na,na,2018,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by legal justification of seizure,unknown,na,na,2019,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by legal justification of seizure,Altered markings,na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by legal justification of seizure,Altered markings,na,na,2018,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by legal justification of seizure,illicit manufacture,na,na,2018,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by legal justification of seizure,illicit manufacture,na,na,2019,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by legal justification of seizure,illicit manufacture,na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by marking,altered marking,na,na,2019,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by marking,altered marking,na,na,2018,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by marking,no marking,na,na,2018,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by marking,no marking,na,na,2019,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by condition,otherwise illicitly manufactured,na,na,2019,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by condition,otherwise illicitly manufactured,na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by condition,otherwise illicitly manufactured,na,na,2018,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by condition,otherwise illicitly manufactured,na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by condition,otherwise illicitly manufactured,na,na,2019,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by condition,otherwise illicitly manufactured,na,na,2018,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by condition,Modified arms,na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by condition,Modified arms,na,na,2019,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by condition,Modified arms,na,na,2018,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by condition,Reactivated arms,na,na,2019,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by condition,Reactivated arms,na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by condition,Reactivated arms,na,na,2018,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by condition,Assembled arms,na,na,2020,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by condition,Assembled arms,na,na,2018,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by condition,Assembled arms,na,na,2019,Counts,0,IAFQ
ALB,Albania,Europe,Southern Europe,Arms seized,by type,Unknown status on type,na,na,2017,Counts,0,IAFQ
