Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2016,Counts,43,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2016,Counts,18,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Without a weapon/ other Mechanism,Total,Total,2016,Counts,10,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide – City-level data,by location,2nd largest city,Total,Total,2016,Counts,20,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Total,Total,2016,Counts,20,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Total,Total,2016,Counts,10,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Other Perpetrator known to the victim,Total,Total,2016,Counts,10,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown,Total,Total,2016,Counts,2,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Relationship to perpetrator is not known,Total,Total,2016,Counts,67,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by situational context,Interpersonal homicide,Total,Total,2016,Counts,20,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by situational context,Socio-political homicide,Total,Total,2016,Counts,1,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by situational context,Unknown types of homicide,Total,Total,2016,Counts,78,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Total,Total,2016,Counts,10,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide – City-level data,by location,3rd largest city,Total,Total,2016,Counts,4,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide – City-level data,by location,1st largest city,Total,Total,2016,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Total,Total,2017,Counts,14,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Total,Total,2017,Counts,7,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Total,Total,2017,Counts,7,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Other Perpetrator known to the victim,Total,Total,2017,Counts,7,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown,Total,Total,2017,Counts,1,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Relationship to perpetrator is not known,Total,Total,2017,Counts,46,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by situational context,Interpersonal homicide,Total,Total,2017,Counts,15,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by situational context,Socio-political homicide,Total,Total,2017,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by situational context,Unknown types of homicide,Total,Total,2017,Counts,53,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2017,Counts,44,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2017,Counts,18,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Without a weapon/ other Mechanism,Total,Total,2017,Counts,6,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide – City-level data,by location,2nd largest city,Total,Total,2017,Counts,9,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide – City-level data,by location,3rd largest city,Total,Total,2017,Counts,9,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide – City-level data,by location,1st largest city,Total,Total,2017,Counts,1,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Total,Total,2018,Counts,23,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Total,Total,2018,Counts,7,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Total,Total,2018,Counts,16,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Other Perpetrator known to the victim,Total,Total,2018,Counts,1,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown,Total,Total,2018,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Relationship to perpetrator is not known,Total,Total,2018,Counts,44,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by situational context,Interpersonal homicide,Total,Total,2018,Counts,20,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by situational context,Socio-political homicide,Total,Total,2018,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by situational context,Unknown types of homicide,Total,Total,2018,Counts,48,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2018,Counts,46,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2018,Counts,19,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Without a weapon/ other Mechanism,Total,Total,2018,Counts,3,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide – City-level data,by location,2nd largest city,Total,Total,2018,Counts,10,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide – City-level data,by location,3rd largest city,Total,Total,2018,Counts,7,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide – City-level data,by location,1st largest city,Total,Total,2018,Counts,11,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Total,Total,2019,Counts,17,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by situational context,Interpersonal homicide,Total,Total,2019,Counts,17,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide – City-level data,by location,2nd largest city,Total,Total,2019,Counts,13,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide – City-level data,by location,3rd largest city,Total,Total,2019,Counts,11,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide – City-level data,by location,1st largest city,Total,Total,2019,Counts,7,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by situational context,Interpersonal homicide,Total,Total,2020,Counts,9,CTS
ARE,United Arab Emirates,Asia,Western Asia,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Total,Total,2019,Counts,16,CTS
ARE,United Arab Emirates,Asia,Western Asia,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Total,Total,2019,Counts,4,CTS
ARE,United Arab Emirates,Asia,Western Asia,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Total,Total,2019,Counts,12,CTS
ARE,United Arab Emirates,Asia,Western Asia,Victims of intentional homicide,by relationship to perpetrator,Other Perpetrator known to the victim,Total,Total,2019,Counts,47,CTS
ARE,United Arab Emirates,Asia,Western Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown,Total,Total,2019,Counts,0,CTS
ARE,United Arab Emirates,Asia,Western Asia,Victims of intentional homicide,by relationship to perpetrator,Relationship to perpetrator is not known,Total,Total,2019,Counts,1,CTS
ARE,United Arab Emirates,Asia,Western Asia,Victims of intentional homicide,by situational context,Organized criminal groups or gangs,Total,Total,2019,Counts,0,CTS
ARE,United Arab Emirates,Asia,Western Asia,Victims of intentional homicide,by situational context,Socio-political homicide,Total,Total,2019,Counts,0,CTS
ARE,United Arab Emirates,Asia,Western Asia,Victims of intentional homicide,by situational context,Socio-political homicide - terrorist offences,Total,Total,2019,Counts,0,CTS
ARE,United Arab Emirates,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2019,Counts,0,CTS
ARE,United Arab Emirates,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2019,Counts,0,CTS
ARE,United Arab Emirates,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Another weapon,Total,Total,2019,Counts,0,CTS
ARE,United Arab Emirates,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2019,Counts,35,CTS
ARE,United Arab Emirates,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Without a weapon/ other Mechanism,Total,Total,2019,Counts,29,CTS
ARE,United Arab Emirates,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Unspecified means,Total,Total,2019,Counts,0,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide – City-level data,by location,2nd largest city,Total,Total,2016,Counts,146,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Total,Total,2017,Counts,392,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Total,Total,2017,Counts,195,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Total,Total,2017,Counts,197,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Other Perpetrator known to the victim,Total,Total,2017,Counts,366,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown,Total,Total,2017,Counts,631,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Relationship to perpetrator is not known,Total,Total,2017,Counts,925,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by situational context,Other criminal activities,Total,Total,2017,Counts,460,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,1245,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2017,Counts,1245,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Another weapon,Total,Total,2017,Counts,722,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2017,Counts,590,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Without a weapon/ other Mechanism,Total,Total,2017,Counts,209,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Unspecified means,Total,Total,2017,Counts,138,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide – City-level data,by location,2nd largest city,Total,Total,2017,Counts,143,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Total,Total,2018,Counts,438,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Total,Total,2018,Counts,209,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Total,Total,2018,Counts,229,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Other Perpetrator known to the victim,Total,Total,2018,Counts,301,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown,Total,Total,2018,Counts,635,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Relationship to perpetrator is not known,Total,Total,2018,Counts,1012,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by situational context,Other criminal activities,Total,Total,2018,Counts,446,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,1214,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2018,Counts,1214,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Another weapon,Total,Total,2018,Counts,843,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2018,Counts,684,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Without a weapon/ other Mechanism,Total,Total,2018,Counts,222,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Unspecified means,Total,Total,2018,Counts,108,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide – City-level data,by location,2nd largest city,Total,Total,2018,Counts,137,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Total,Total,2019,Counts,405,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Total,Total,2019,Counts,229,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Total,Total,2019,Counts,176,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Other Perpetrator known to the victim,Total,Total,2019,Counts,325,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown,Total,Total,2019,Counts,598,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Relationship to perpetrator is not known,Total,Total,2019,Counts,974,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by situational context,Other criminal activities,Total,Total,2019,Counts,447,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2019,Counts,1127,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2019,Counts,1127,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Another weapon,Total,Total,2019,Counts,843,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2019,Counts,682,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Without a weapon/ other Mechanism,Total,Total,2019,Counts,180,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Unspecified means,Total,Total,2019,Counts,156,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Total,Total,2020,Counts,387,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Total,Total,2020,Counts,213,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Total,Total,2020,Counts,174,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Other Perpetrator known to the victim,Total,Total,2020,Counts,478,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown,Total,Total,2020,Counts,564,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Relationship to perpetrator is not known,Total,Total,2020,Counts,985,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by situational context,Other criminal activities,Total,Total,2020,Counts,416,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2020,Counts,1209,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2020,Counts,1209,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Another weapon,Total,Total,2020,Counts,871,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2020,Counts,723,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Without a weapon/ other Mechanism,Total,Total,2020,Counts,208,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Unspecified means,Total,Total,2020,Counts,128,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2016,Counts,15,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2016,Counts,15,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2016,Counts,21,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Without a weapon/ other Mechanism,Total,Total,2016,Counts,51,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Unspecified means,Total,Total,2016,Counts,0,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide – City-level data,by location,2nd largest city,Total,Total,2016,Counts,34,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide – City-level data,by location,3rd largest city,Total,Total,2016,Counts,8,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide – City-level data,by location,1st largest city,Total,Total,2016,Counts,2,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Another weapon,Total,Total,2016,Counts,21,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,18,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2017,Counts,18,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Another weapon,Total,Total,2017,Counts,18,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2017,Counts,17,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Without a weapon/ other Mechanism,Total,Total,2017,Counts,34,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Unspecified means,Total,Total,2017,Counts,0,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide – City-level data,by location,2nd largest city,Total,Total,2017,Counts,24,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide – City-level data,by location,3rd largest city,Total,Total,2017,Counts,4,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide – City-level data,by location,1st largest city,Total,Total,2017,Counts,3,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,6,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2018,Counts,6,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2018,Counts,15,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Without a weapon/ other Mechanism,Total,Total,2018,Counts,31,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Unspecified means,Total,Total,2018,Counts,0,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide – City-level data,by location,2nd largest city,Total,Total,2018,Counts,19,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide – City-level data,by location,3rd largest city,Total,Total,2018,Counts,4,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide – City-level data,by location,1st largest city,Total,Total,2018,Counts,0,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Another weapon,Total,Total,2018,Counts,15,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2019,Counts,20,CTS
