Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,txtVALUE,Source
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by citizenship,Nationals,Total,Total,2017,Counts,23,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Total,0 to 17 years,2017,Counts,15,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Total,18 years or over,2017,Counts,9,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2017,Counts,24,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Persons convicted,by citizenship,Nationals,Total,Total,2017,Counts,6,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Persons convicted,by form of exploitation,Forced labour,Total,Total,2017,Counts,6,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Persons convicted,by form of exploitation,Forced labour,Total,Total,2018,Counts,5,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by citizenship,Nationals,Total,Total,2019,Counts,6,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Total,0 to 17 years,2019,Counts,8,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2019,Counts,8,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Persons convicted,by citizenship,Nationals,Total,Total,2019,Counts,8,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by citizenship,Congo,Total,Total,2020,Counts,8,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,0 to 17 years,2020,Counts,8,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2020,Counts,8,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Persons convicted,by form of exploitation,Forced labour,Total,Total,2020,Counts,20,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2016,Counts,74,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2017,Counts,54,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Total,0 to 17 years,2017,Counts,22,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,0 to 17 years,2017,Counts,17,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,18 years or over,2017,Counts,39,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2018,Counts,37,GLOTIP
