Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2016,Counts,118,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,4,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2016,Counts,120,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2016,Counts,44,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2016,Counts,76,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2016,Counts,105,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Acts intended to induce fear or emotional distress,Total,Total,2016,Counts,515,CTS
ALB,Albania,Europe,Southern Europe,Offences of sexual nature,by type of offence,Child pornography,Total,Total,2016,Counts,5,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2016,Counts,159,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2017,Counts,125,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2017,Counts,2,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2017,Counts,113,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2017,Counts,43,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2017,Counts,70,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2017,Counts,121,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Acts intended to induce fear or emotional distress,Total,Total,2017,Counts,461,CTS
ALB,Albania,Europe,Southern Europe,Offences of sexual nature,by type of offence,Child pornography,Total,Total,2017,Counts,4,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2017,Counts,183,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2018,Counts,96,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Acts intended to induce fear or emotional distress,Total,Total,2018,Counts,525,CTS
ALB,Albania,Europe,Southern Europe,Offences of sexual nature,by type of offence,Child pornography,Total,Total,2018,Counts,3,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2018,Counts,135,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2018,Counts,5,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2018,Counts,109,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2018,Counts,42,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2018,Counts,67,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2018,Counts,133,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,158,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2019,Counts,4,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2019,Counts,154,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2019,Counts,77,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2019,Counts,77,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2019,Counts,96,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2019,Counts,98,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Acts intended to induce fear or emotional distress,Total,Total,2019,Counts,521,CTS
ALB,Albania,Europe,Southern Europe,Offences of sexual nature,by type of offence,Child pornography,Total,Total,2019,Counts,5,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,152,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2020,Counts,5,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2020,Counts,145,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2020,Counts,65,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2020,Counts,80,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2020,Counts,91,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2016,Counts,194,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2016,Counts,18,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2016,Counts,2,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2016,Counts,11,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2016,Counts,5,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2016,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2016,Counts,7,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Acts intended to induce fear or emotional distress,Total,Total,2016,Counts,145,CTS
AND,Andorra,Europe,Southern Europe,Offences of sexual nature,by type of offence,Child pornography,Total,Total,2016,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2017,Counts,223,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2017,Counts,0,CTS
