City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Rank,Crime Index,Safety Index,Number of Hotels,Number of Resturants,Bodies of Water,Tourist Attractions,Natural Places,Hospital,Entertainment,Rental Car,Airport
3510,dar kulayb,26.0686,50.5039,28.09,52,0,4.2,BH,2023-04-28 11:00:32,,,,4,40,17,19,160,4,3,0,1
1720,treinta y tres,-33.2333,-54.3833,27.4,35,0,2.24,UY,2023-04-28 10:51:19,,,,4,2,14,3,30,4,4,0,1
947,francisco beltrao,-26.0811,-53.055,24.12,52,0,1.1,BR,2023-04-28 10:47:38,,,,5,6,147,1,200,6,1,0,1
2886,itaqui,-29.1253,-56.5531,28.29,27,0,4.83,BR,2023-04-28 10:57:09,,,,7,6,13,4,32,5,1,0,1
2112,quarai,-30.3875,-56.4514,27.69,30,0,4.75,BR,2023-04-28 10:53:13,,,,7,9,26,5,33,5,2,0,1
3644,miandrivazo,-19.5167,45.4667,25.74,59,0,0.64,MG,2023-04-28 11:01:31,,,,7,1,7,1,13,0,0,0,1
3779,artigas,-30.4,-56.4667,27.63,30,0,4.76,UY,2023-04-28 11:01:26,,,,7,9,26,5,33,5,2,0,1
2594,hun,29.1268,15.9477,25.69,23,0,4.27,LY,2023-04-28 10:55:42,,,,8,4,0,3,0,2,0,0,1
2293,tacuarembo,-31.7333,-55.9833,28.39,28,0,3.59,UY,2023-04-28 10:54:08,,,,8,4,12,9,41,1,2,1,1
3311,don torcuato,-34.4967,-58.6391,27.86,52,0,7.2,AR,2023-04-28 10:59:09,,,,8,178,140,42,200,22,13,2,1
2730,indian harbour beach,28.1489,-80.5884,28.03,63,0,7.2,US,2023-04-28 10:56:27,,,,8,48,200,9,200,4,9,4,1
2473,paysandu,-32.3214,-58.0756,27.0,38,0,6.61,UY,2023-04-28 10:52:41,,,,9,5,13,10,30,2,4,0,1
1215,talara,-4.5772,-81.2719,30.42,62,0,4.12,PE,2023-04-28 10:48:58,,,,9,2,1,0,2,1,0,0,1
61,grootfontein,-19.5667,18.1167,22.76,43,0,1.54,,2023-04-28 10:40:48,,,,10,3,2,3,2,3,1,0,1
4010,carmelo,-33.9892,-58.2856,27.58,34,0,6.46,UY,2023-04-28 11:03:39,,,,10,5,19,7,95,1,3,0,1
1417,nacogdoches,31.6002,-94.6335,24.76,64,0,1.89,US,2023-04-28 10:48:59,,,,10,9,21,4,29,2,6,1,1
2565,omidiyeh,30.7597,49.705,29.93,28,0,3.09,IR,2023-04-28 10:55:35,,,,11,6,7,1,21,2,8,0,1
1076,yanbu,24.0891,38.0637,31.02,30,0,3.6,SA,2023-04-28 10:48:17,,,,13,2,2,5,0,8,1,0,1
2719,ciudad del carmen,18.6333,-91.8333,31.02,66,0,4.12,MX,2023-04-28 10:53:19,,,,16,45,8,13,45,4,7,0,1
1163,ceres,37.5949,-120.9577,28.91,38,0,1.54,US,2023-04-28 10:48:46,,,,16,12,61,1,101,4,5,0,1
2570,moron,-34.6534,-58.6198,27.79,54,0,4.52,AR,2023-04-28 10:55:37,,,,16,200,18,86,25,48,33,2,1
4088,nuevo laredo,27.4763,-99.5164,31.15,58,0,7.72,MX,2023-04-28 11:04:00,,,,17,35,70,57,109,8,21,0,2
1502,monclova,26.9,-101.4167,31.7,35,0,2.57,MX,2023-04-28 10:50:25,,,,18,61,7,23,10,5,15,0,1
2571,emiliano zapata,18.8333,-99.1833,30.37,30,0,2.57,MX,2023-04-28 10:55:37,,,,19,17,15,25,26,9,7,0,1
562,ixtapa,20.7,-105.2,25.57,65,0,3.6,MX,2023-04-28 10:43:41,,,,20,71,21,7,37,9,9,7,1
4129,paso de los libres,-29.7131,-57.0899,28.02,44,0,3.6,AR,2023-04-28 11:04:18,,,,21,9,13,9,22,6,5,0,2
776,vallenar,-28.5708,-70.7581,25.15,36,0,3.73,CL,2023-04-28 10:46:40,,,,22,7,9,4,15,2,3,0,1
4197,abadan,30.3392,48.3043,29.97,25,0,2.06,IR,2023-04-28 11:04:44,,,,25,15,32,4,43,9,10,0,1
