City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,moengo,5.6167,-54.4,30.56,62,77,2.59,SR,2023-04-28 10:40:29
1,ribeira grande,38.5167,-28.7,17.65,67,40,9.77,PT,2023-04-28 10:40:29
2,hawaiian paradise park,19.5933,-154.9731,21.05,93,0,2.57,US,2023-04-28 10:40:29
3,yaren,-0.5472,166.916,28.05,79,96,6.3,NR,2023-04-28 10:40:30
4,lihue,21.9789,-159.3672,20.97,89,100,5.14,US,2023-04-28 10:40:30
5,coquimbo,-29.9533,-71.3436,14.85,82,100,3.09,CL,2023-04-28 10:38:54
6,antsiranana,-12.2787,49.2917,26.02,74,29,6.8,MG,2023-04-28 10:40:31
7,west island,-12.1568,96.8225,26.99,94,100,1.54,CC,2023-04-28 10:40:31
8,puerto ayora,-0.7393,-90.3518,29.98,87,45,1.79,EC,2023-04-28 10:40:31
9,avarua,-21.2078,-159.775,23.03,64,20,3.09,CK,2023-04-28 10:40:32
10,campo maior,-4.8278,-42.1686,31.26,54,55,1.78,BR,2023-04-28 10:40:32
11,sinabang,2.4803,96.3801,25.5,88,100,0.65,ID,2023-04-28 10:40:33
12,kibara,-2.15,33.45,22.05,77,80,0.82,TZ,2023-04-28 10:40:33
13,holualoa,19.6228,-155.9522,22.65,83,40,2.57,US,2023-04-28 10:40:34
14,xuddur,4.1213,43.8894,24.18,78,100,2.24,SO,2023-04-28 10:40:34
15,copiapo,-27.3667,-70.3333,16.83,53,0,4.49,CL,2023-04-28 10:40:34
16,saipan,15.1355,145.701,27.39,89,40,7.2,MP,2023-04-28 10:40:35
17,ouadda,8.0777,22.4007,23.17,71,93,1.79,CF,2023-04-28 10:40:35
18,haiku-pauwela,20.9219,-156.3051,23.91,89,20,0.89,US,2023-04-28 10:40:36
19,pisco,-13.7,-76.2167,24.03,73,0,4.12,PE,2023-04-28 10:40:36
20,alaghsas,17.0187,8.0168,39.94,9,88,4.63,NE,2023-04-28 10:40:37
21,vila franca do campo,37.7167,-25.4333,18.23,83,20,6.4,PT,2023-04-28 10:40:38
22,taozhuang,34.85,117.3333,13.9,29,99,8.84,CN,2023-04-28 10:40:38
23,encantado,-29.2361,-51.8697,26.14,29,7,1.29,BR,2023-04-28 10:40:39
24,beau vallon,-20.4189,57.6953,26.13,78,40,5.14,MU,2023-04-28 10:40:39
25,ilhabela,-23.7781,-45.3581,22.17,82,100,1.95,BR,2023-04-28 10:40:39
26,uturoa,-16.7333,-151.4333,27.31,78,71,4.4,PF,2023-04-28 10:40:40
27,sakon nakhon,17.3333,103.8333,28.19,62,15,3.5,TH,2023-04-28 10:40:40
28,nguigmi,14.2495,13.1092,34.86,9,100,2.32,NE,2023-04-28 10:40:40
29,saint-philippe,-21.3585,55.7679,23.77,74,49,4.41,RE,2023-04-28 10:40:40
30,tadine,-21.55,167.8833,22.93,78,12,6.17,NC,2023-04-28 10:40:41
31,recreo,-29.2818,-65.061,29.59,38,0,13.27,AR,2023-04-28 10:40:41
32,nova sintra,14.8667,-24.7167,20.24,81,0,7.1,CV,2023-04-28 10:40:41
33,adamstown,-25.066,-130.1015,24.33,70,92,4.52,PN,2023-04-28 10:40:41
34,la passe,45.5549,-0.8967,25.13,82,100,5.45,FR,2023-04-28 10:40:42
35,port-vila,-17.7338,168.3219,26.29,72,29,3.34,VU,2023-04-28 10:40:42
36,arraial do cabo,-22.9661,-42.0278,23.92,83,100,3.6,BR,2023-04-28 10:40:42
37,enewetak,11.3474,162.3373,26.61,84,96,8.21,MH,2023-04-28 10:40:42
38,el fasher,13.6279,25.3494,31.58,12,97,4.62,SD,2023-04-28 10:40:43
39,port-aux-francais,-49.35,70.2167,6.17,90,83,11.9,TF,2023-04-28 10:40:43
40,tolanaro,-25.0319,46.9987,24.04,69,75,5.14,MG,2023-04-28 10:40:43
41,newman,37.3138,-121.0208,27.81,45,0,0.89,US,2023-04-28 10:40:44
42,tomatlan,19.9333,-105.25,31.96,31,3,4.4,MX,2023-04-28 10:40:44
43,minas de marcona,-15.2119,-75.1103,22.24,58,33,6.62,PE,2023-04-28 10:40:44
44,edinburgh of the seven seas,-37.0676,-12.3116,17.75,80,100,8.06,SH,2023-04-28 10:40:44
45,bikenibeu village,1.3673,173.1241,26.98,83,40,3.09,KI,2023-04-28 10:40:45
46,port mathurin,-19.6833,63.4167,25.99,80,1,6.06,MU,2023-04-28 10:40:45
47,koster,-25.863,26.8976,18.7,47,54,1.92,ZA,2023-04-28 10:40:45
48,laguna,38.421,-121.4238,29.49,50,0,1.54,US,2023-04-28 10:40:45
49,sao jose da coroa grande,-8.8978,-35.1478,28.37,68,55,3.44,BR,2023-04-28 10:40:46
50,hithadhoo,-0.6,73.0833,28.88,74,100,3.42,MV,2023-04-28 10:40:46
51,selebi-phikwe,-21.979,27.8498,23.15,48,7,3.17,BW,2023-04-28 10:40:46
52,mitu,1.1983,-70.1733,30.59,65,69,0.86,CO,2023-04-28 10:40:46
53,mianwali,32.5741,71.5264,27.45,35,65,3.13,PK,2023-04-28 10:40:47
54,taltal,-25.4,-70.4833,19.05,72,15,2.21,CL,2023-04-28 10:40:47
55,flying fish cove,-10.4217,105.6791,27.34,81,100,8.91,CX,2023-04-28 10:40:47
56,muisne,0.6,-80.0333,28.87,73,100,3.63,EC,2023-04-28 10:40:47
57,kalmunai,7.4167,81.8167,26.52,84,85,0.38,LK,2023-04-28 10:40:48
58,ta`u,-14.2336,-169.5144,28.11,76,83,8.11,AS,2023-04-28 10:40:48
59,nouadhibou,20.931,-17.0347,21.99,73,0,9.26,MR,2023-04-28 10:40:48
60,los altos,37.3852,-122.1141,28.1,64,0,3.6,US,2023-04-28 10:38:03
61,grootfontein,-19.5667,18.1167,22.76,43,0,1.54,NA,2023-04-28 10:40:48
62,tado,5.266,-76.5649,20.9,57,100,1.23,CO,2023-04-28 10:40:49
63,nova vicosa,-17.8919,-39.3719,28.61,66,20,4.7,BR,2023-04-28 10:40:49
64,tindouf,27.6711,-8.1474,39.25,6,0,4.12,DZ,2023-04-28 10:40:49
65,al ghayzah,16.2079,52.176,29.09,74,50,5.29,YE,2023-04-28 10:40:49
66,aioun,16.6614,-9.6149,38.81,3,0,6.84,MR,2023-04-28 10:40:50
67,cova figueira,14.8905,-24.2934,21.38,80,0,9.44,CV,2023-04-28 10:40:50
68,capayan,-28.761,-66.0502,31.72,31,0,1.41,AR,2023-04-28 10:40:50
69,luderitz,-26.6481,15.1594,16.35,72,2,8.25,NA,2023-04-28 10:40:50
70,walvis bay,-22.9575,14.5053,15.61,67,0,8.43,NA,2023-04-28 10:40:51
71,antofagasta,-23.65,-70.4,20.6,66,25,3.48,CL,2023-04-28 10:40:51
72,kununurra,-15.7667,128.7333,20.99,94,77,0.0,AU,2023-04-28 10:40:51
73,weno,7.4515,151.8468,27.52,78,100,8.29,FM,2023-04-28 10:40:52
74,cabo san lucas,22.8909,-109.9124,30.61,36,0,3.6,MX,2023-04-28 10:40:52
75,lompoc,34.6391,-120.4579,15.08,100,100,0.0,US,2023-04-28 10:40:52
76,caleta de carquin,-11.0925,-77.6267,25.83,72,99,5.08,PE,2023-04-28 10:40:52
77,mahina,-17.5065,-149.489,27.87,69,75,2.06,PF,2023-04-28 10:40:53
78,kantang,7.4054,99.5156,26.44,84,100,1.22,TH,2023-04-28 10:40:53
79,carauari,-4.8828,-66.8958,29.24,78,73,0.83,BR,2023-04-28 10:40:53
80,katiola,8.1333,-5.1,32.35,68,98,4.23,CI,2023-04-28 10:40:53
81,grand-bassam,5.2118,-3.7388,27.98,83,98,2.86,CI,2023-04-28 10:40:54
82,kingston,17.997,-76.7936,31.25,70,47,2.68,JM,2023-04-28 10:40:54
83,hamilton,39.1834,-84.5333,18.11,81,100,4.63,US,2023-04-28 10:40:54
84,remire-montjoly,4.9167,-52.2667,30.02,70,0,5.14,GF,2023-04-28 10:40:54
85,kavaratti,10.5669,72.642,28.88,72,33,1.77,IN,2023-04-28 10:40:55
86,roma,43.2128,-75.4557,18.79,49,0,7.72,US,2023-04-28 10:36:44
87,soio,-6.1349,12.3689,26.34,88,100,2.72,AO,2023-04-28 10:40:55
88,khawr fakkan,25.3313,56.342,29.03,53,0,4.34,AE,2023-04-28 10:40:55
